ID;Generation Number;Generation Size;DD Size;Number of DD;Runtime;Tests per Minute;Average Test Execution Time;Average DD Runtime;Total primary score increase;Total secondary increase
78;a7e56;2000;531;10;        50s 741ms 782μs 286ns;3037.200000;                        -30298322177679ns;         6s 914ms 257μs 375ns;2257.000000;0.000000
79;aa0ff;2000;511;10;        54s 437ms   4μs 375ns;2790.000000;                        -29037537722419ns;         6s 204ms 550μs 747ns;2257.000000;0.000000
80;ac338;2000;467;10;        53s 176ms 164μs 539ns;2792.830189;                        -29996744359835ns;         5s 991ms 383μs 658ns;2257.000000;0.000000
81;ae49f;2000;518;10;        51s 381ms 679μs 740ns;2962.352941;                        -32825165640551ns;         6s 877ms 877μs 694ns;2257.000000;0.000000
82;b0701;2000;492;10;        51s 240ms 338μs 622ns;2931.764706;                        -29052003381357ns;         6s 526ms 450μs 408ns;2257.000000;0.000000
362;2ffe1d;2000;394;10;        57s 646ms 211μs 345ns;2520.000000;                        -24698901659393ns;         4s 689ms 213μs 683ns;2256.000000;0.000000
361;2fddbe;2000;376;10;        59s 169ms 544μs 511ns;2416.271186;                        -22985836740104ns;         4s  25ms 499μs 667ns;2256.000000;0.000000
360;2fbae3;2000;529;10;     1m  1s 873ms 595μs 310ns;2487.540984;                        -34056549417447ns;         7s 316ms 610μs 417ns;2256.000000;0.000000
359;2f98f4;2000;474;10;     1m  1s 162ms 453μs 341ns;2433.442623;                        -34807252437844ns;         6s  51ms 115μs 592ns;2256.000000;0.000000
358;2f7673;2000;505;10;     1m      12ms 410μs 198ns;2505.000000;                        -31000586499923ns;         6s 641ms 185μs 146ns;2256.000000;0.000000
357;2f546a;2000;477;10;        59s 576ms 906μs 694ns;2518.983051;                        -33162469385181ns;         6s 198ms 401μs 373ns;2256.000000;0.000000
356;2f332b;2000;438;10;        57s 980ms 367μs 811ns;2566.315789;                        -32071786654157ns;         5s 921ms 327μs  83ns;2256.000000;0.000000
355;2f1362;2000;348;10;        56s 401ms 130μs 296ns;2515.714286;                        -18923121828759ns;         4s 180ms 647μs 617ns;2256.000000;0.000000
354;2ef1db;2000;461;10;        59s 676ms 692μs 293ns;2502.711864;                        -30389919463622ns;         6s 268ms 229μs   3ns;2256.000000;0.000000
353;2ece8c;2000;550;10;        59s 908ms 602μs 500ns;2593.220339;                        -36158874191104ns;         8s 159ms 966μs 580ns;2256.000000;0.000000
352;2eac4d;2000;494;10;        58s 624ms 425μs 338ns;2580.000000;                        -25018397208690ns;         6s 832ms  89μs 946ns;2256.000000;0.000000
351;2e8a46;2000;476;10;        59s 807ms 991μs 348ns;2517.966102;                        -27011781454281ns;         6s 257ms 883μs 715ns;2256.000000;0.000000
350;2e670d;2000;544;10;     1m      86ms 412μs 372ns;2544.000000;                        -39317257196299ns;         7s  69ms 857μs 949ns;2256.000000;0.000000
349;2e4510;2000;476;10;        59s 570ms 680μs 474ns;2517.966102;                        -26548307575306ns;         6s 210ms 990μs 150ns;2256.000000;0.000000
348;2e2187;2000;564;10;     1m  1s 213ms  24μs 936ns;2521.967213;                        -36148461280046ns;         7s 637ms  18μs 784ns;2256.000000;0.000000
347;2dfe4e;2000;546;10;        59s 921ms 783μs 661ns;2589.152542;                        -35956378650705ns;         7s 777ms  82μs 422ns;2256.000000;0.000000
346;2ddcbd;2000;462;10;        59s 427ms 103μs 719ns;2503.728814;                        -31474650798255ns;         5s 946ms 743μs 343ns;2256.000000;0.000000
345;2dbac0;2000;466;10;        57s  20ms 995μs 270ns;2595.789474;                        -27775358105112ns;         5s 828ms 391μs 515ns;2256.000000;0.000000
344;2d9807;2000;520;10;        55s 591ms 638μs 857ns;2749.090909;                        -36531048965856ns;         7s 412ms 555μs 878ns;2256.000000;0.000000
343;2d7581;2000;507;10;        55s 640ms 949μs  20ns;2734.909091;                        -31789151714431ns;         6s 872ms 565μs  83ns;2256.000000;0.000000
342;2d52bc;2000;526;10;        56s  10ms 648μs 218ns;2706.428571;                        -34654755207496ns;         7s 456ms 507μs 598ns;2256.000000;0.000000
341;2d2fbd;2000;537;10;        57s 633ms 217μs 332ns;2670.526316;                        -31402554305854ns;         7s 644ms 586μs 863ns;2256.000000;0.000000
340;2d0d62;2000;499;10;        54s 602ms 244μs 266ns;2776.666667;                        -33445901140822ns;         7s  19ms 976μs 279ns;2256.000000;0.000000
339;2cebe9;2000;447;10;        57s  24ms 376μs 703ns;2575.789474;                        -30254471134587ns;         6s 311ms 895μs  51ns;2256.000000;0.000000
338;2ccb14;2000;419;10;        57s 784ms 777μs 798ns;2546.315789;                        -29440372448661ns;         5s 574ms 342μs 901ns;2256.000000;0.000000
337;2ca9b3;2000;444;10;        57s 153ms 277μs 595ns;2572.631579;                        -29822419258798ns;         6s 105ms 114μs 234ns;2256.000000;0.000000
336;2c87c8;2000;474;10;        58s 752ms 274μs 653ns;2559.310345;                        -33987432877404ns;         6s 519ms  79μs 781ns;2256.000000;0.000000
335;2c65f7;2000;463;10;        56s 760ms 862μs 782ns;2638.928571;                        -31402583256511ns;         6s  57ms 869μs 247ns;2256.000000;0.000000
334;2c4496;2000;450;10;        52s 906ms 910μs 884ns;2826.923077;                        -27218078859307ns;         5s 857ms 315μs 481ns;2256.000000;0.000000
333;2c2303;2000;455;10;        54s 973ms 496μs 253ns;2727.777778;                        -29668592917038ns;         6s 316ms  53μs 537ns;2256.000000;0.000000
332;2c00c1;2000;495;10;        56s 544ms 628μs 467ns;2673.214286;                        -33678561657308ns;         6s 512ms 836μs 836ns;2256.000000;0.000000
331;2bdf4c;2000;455;10;        58s 733ms 269μs 639ns;2539.655172;                        -32624467703549ns;         6s 121ms 829μs 436ns;2259.000000;0.000000
330;2bbe09;2000;443;10;        56s 861ms 868μs 275ns;2617.500000;                        -26589988239269ns;         5s 940ms 218μs 721ns;2259.000000;0.000000
329;2b9b7c;2000;511;10;        57s 951ms 526μs 282ns;2643.157895;                        -32108924509183ns;         6s 874ms 935μs 185ns;2259.000000;0.000000
328;2b78cf;2000;518;10;        58s 683ms 934μs 235ns;2604.827586;                        -35571284464768ns;         7s 137ms  82μs 636ns;2259.000000;0.000000
327;2b55d0;2000;545;10;     1m  1s  98ms 759μs 993ns;2503.278689;                        -39366303612112ns;         7s 116ms 452μs 232ns;2259.000000;0.000000
326;2b351a;2000;416;10;        58s 269ms 292μs 655ns;2499.310345;                        -29416461190000ns;         5s 819ms 885μs 214ns;2259.000000;0.000000
325;2b12ed;2000;495;10;        57s 677ms 726μs 930ns;2626.315789;                        -33413767512209ns;         6s 910ms 975μs  84ns;2259.000000;0.000000
324;2af178;2000;453;10;        56s 931ms 909μs 973ns;2628.214286;                        -33524047291341ns;         6s 341ms 261μs 317ns;2259.000000;0.000000
323;2ad032;2000;438;10;        56s 422ms 339μs 266ns;2612.142857;                        -26153737813898ns;         6s  18ms 456μs 437ns;2259.000000;0.000000
